method;rung
wPr2SCAN50;DH
wPBEPP86;DH
wB88PP86;DH
wB2PLYP18;DH
wB2PLYP;DH
wB2GP-PLYP;DH
RSX-QIDH;DH
r2SCAN0-2;DH
RSX-0DH;DH
revDSD-PBEP86-D4_2021;DH
revDSD-PBEP86_2021;DH
revDOD-PBEP86-D4_2021;DH
revDOD-PBEP86_2021;DH
PWPB95;DH
Pr2SCAN69;DH
Pr2SCAN50;DH
PBE0-DH;DH
PBE-QIDH;DH
mPW2PLYP;DH
kPr2SCAN50;DH
DSD-PBEP86;DH
DSD-PBEB95;DH
DSD-BLYP;DH
B2T-PLYP;DH
B2PLYP;DH
B2K-PLYP;DH
B2GP-PLYP;DH
MP2;other
wB97X-2;DH
XLYP;GGA
RPW86PBE;GGA
RPBE;GGA
REVPBE;GGA
PWP;GGA
PW91;GGA
PBE;GGA
OLYP;GGA
mPWPW;GGA
mPWLYP;GGA
GLYP;GGA
BP86;GGA
BLYP;GGA
BLYP-D3BJ;GGA
X3LYP;hybrid
TPSSh;hybrid
TPSS0;hybrid
REVPBE38;hybrid
REVPBE0;hybrid
r2SCANh;hybrid
r2SCAN50;hybrid
r2SCAN0;hybrid
PW6B95;hybrid
PW1PW;hybrid
PBE0;hybrid
O3LYP;hybrid
mPW1PW;hybrid
mPW1LYP;hybrid
M062X;hybrid
M06;hybrid
BHANDHLYP;hybrid
BHANDHLYP-D3BJ;hybrid
B3PW;hybrid
B3P;hybrid
B3LYP_G;hybrid
B3LYP-D3BJ;hybrid
B1P;hybrid
B1LYP;hybrid
HF;other
VWN3;LSDA
VWN;LSDA
PWLDA;LSDA
LDA;LSDA
HFS;other
TPSS;mGGA
SCANfunc;mGGA
r2SCAN;mGGA
M06L;mGGA
B97M-V;mGGA
B97M-D4;mGGA
B97M-D3BJ;mGGA
wr2SCAN;RS-hybrid
wB97X-V;RS-hybrid
wB97X-D4rev;RS-hybrid
wB97X-D4;RS-hybrid
wB97X-D3BJ;RS-hybrid
wB97X-D3;RS-hybrid
wB97X;RS-hybrid
wB97M-V;RS-hybrid
wB97M-D4rev;RS-hybrid
wB97M-D4;RS-hybrid
wB97M-D3BJ;RS-hybrid
wB97;RS-hybrid
LC-PBE;RS-hybrid
LC-BLYP;RS-hybrid
CAM-B3LYP;RS-hybrid
CAM-B3LYP-D3BJ;RS-hybrid